"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.32",8,32,-1,8,-4.85,0.26687750119291,-0.165167658234734,-0.0870109311903198,-0.098512764135671,-0.0982386784921256,-0.119054370925533,-0.0987624318916108
"result.33",8,33,-1,8,-4.85,0.267072546349347,-0.165167658234734,-0.0877857413666596,-0.0991205227462823,-0.0989756214244551,-0.119477230487172,-0.0991796158537815
"result.34",8,34,-1,8,-4.85,0.268706049534504,-0.165167658234734,-0.0913725252659481,-0.103505762579383,-0.103328610810589,-0.124491023166495,-0.104023146109644
"result.35",8,35,-1,8,-4.85,0.268333373967741,-0.165167658234734,-0.0873450682290934,-0.0995501225914091,-0.0992788655810923,-0.119979868544701,-0.0996188745230513
"result.36",8,36,-1,8,-4.85,0.267236244962785,-0.165167658234734,-0.0896539063353259,-0.102183238563269,-0.101847594137727,-0.123219580743763,-0.102880495488546
"result.37",8,37,-1,8,-4.85,0.268361237561518,-0.165167658234734,-0.0880883933004157,-0.100714648374579,-0.100841981643582,-0.121618437060766,-0.101212918012291
"result.38",8,38,-1,8,-4.85,0.266665041290363,-0.165167658234734,-0.089663912404648,-0.101577133367793,-0.101293862808565,-0.122234670939681,-0.101944064099432
"result.39",8,39,-1,8,-4.85,0.268169675354303,-0.165167658234734,-0.0872929931404873,-0.100122537883574,-0.0997530641313481,-0.12079116952648,-0.100423714452031
"result.40",8,40,-1,8,-4.85,0.267925868908757,-0.165167658234734,-0.0891533896563102,-0.101506112264857,-0.101327313409797,-0.122381151067253,-0.102065779344892
"result.41",8,41,-1,8,-4.85,0.269388707582032,-0.165167658234734,-0.0878398056801612,-0.0993760384527268,-0.099201964731943,-0.120226487879117,-0.0997445068002424
"result.42",8,42,-1,8,-4.85,0.268681668889949,-0.165167658234734,-0.0900777531691736,-0.102162380068023,-0.101912280497881,-0.122822684809655,-0.102409077724215
"result.43",8,43,-1,8,-4.85,0.267218830216674,-0.165167658234734,-0.0903435929837493,-0.101488801355973,-0.101268414735231,-0.122282104508493,-0.101971630112499
"result.44",8,44,-1,8,-4.85,0.267354665236335,-0.165167658234734,-0.0872215765461832,-0.0986923642643651,-0.0983844079334433,-0.119341739554627,-0.0990333028940011
"result.45",8,45,-1,8,-4.85,0.268514487327289,-0.165167658234734,-0.0874059527769915,-0.100072187141403,-0.0998248052672848,-0.12072768051225,-0.100329769605851
"result.46",8,46,-1,8,-4.85,0.268514487327289,-0.165167658234734,-0.0855200132861597,-0.0968468080391381,-0.0966355524335186,-0.117830466680341,-0.0974088451964958
"result.47",8,47,-1,8,-4.85,0.267326801642559,-0.165167658234734,-0.0901383710792901,-0.102626623293873,-0.102324665814961,-0.123226874356378,-0.102856258506139
"result.48",8,48,-1,8,-4.85,0.267434773068443,-0.165167658234734,-0.0840099021814035,-0.0953216391451774,-0.0951295161250363,-0.115955041140881,-0.0956680607034895
"result.49",8,49,-1,8,-4.85,0.267929351857979,-0.165167658234734,-0.0908371301755474,-0.102882705081719,-0.102644714570678,-0.123700671149312,-0.103279245842043
"result.50",8,50,-1,8,-4.85,0.267319835744115,-0.165167658234734,-0.0869804388731301,-0.0996881968430127,-0.0994249817168631,-0.120279347749218,-0.0999528691064379
"result.51",8,51,-1,8,-4.85,0.268942890081605,-0.165167658234734,-0.0898327071603884,-0.102589153061169,-0.102077726109343,-0.123656900534332,-0.103182224729277
"result.52",8,52,-1,8,-4.85,0.268601561057841,-0.165167658234734,-0.0856478801155459,-0.0970092030729336,-0.0967580163962447,-0.117703467148695,-0.0973111011847254
"result.53",8,53,-1,8,-4.85,0.267922385959535,-0.165167658234734,-0.0871902506939867,-0.0991944021548913,-0.0989264956672994,-0.119833905599444,-0.0995526009049431
"result.54",8,54,-1,8,-4.85,0.268744361975947,-0.165167658234734,-0.0898608026082783,-0.10170222542857,-0.101342673344926,-0.122443220699644,-0.102016776234423
"result.55",8,55,-1,8,-4.85,0.267340733439447,-0.165167658234734,-0.0865216208398958,-0.09831131307571,-0.0982622529936869,-0.118920879463264,-0.0986222289418037
"result.56",8,56,-1,8,-4.85,0.267953732502534,-0.165167658234734,-0.0894077674522316,-0.102074665376395,-0.101837510195221,-0.122707182169471,-0.102352422775928
"result.57",8,57,-1,8,-4.85,0.268692117737615,-0.165167658234734,-0.089331457032847,-0.10049551565769,-0.100060173921659,-0.121421668509078,-0.100978423675159
"result.58",8,58,-1,8,-4.85,0.267999010842421,-0.165167658234734,-0.089349646497896,-0.100512107024403,-0.100409937963317,-0.121216357423046,-0.100837452660327
"result.59",8,59,-1,8,-4.85,0.267197932521342,-0.165167658234734,-0.0874635996221036,-0.0996992267316502,-0.0992632893880132,-0.120315172361911,-0.100019301995918
"result.60",8,60,-1,8,-4.85,0.268667737093061,-0.165167658234734,-0.0892101583970344,-0.10151002927348,-0.101184267451978,-0.12221074487299,-0.101813895308448
"result.61",8,61,-1,8,-4.85,0.267605437580326,-0.165167658234734,-0.0917461642541658,-0.101976142983868,-0.101877977241266,-0.122351311054173,-0.10194273842353
"result.62",8,62,-1,8,-4.85,0.266901881837465,-0.165167658234734,-0.0879564552332366,-0.100024128503458,-0.0997496904644961,-0.120842263360962,-0.100545935939407
"result.63",8,63,-1,8,-4.85,0.266734700274805,-0.165167658234734,-0.091221871756636,-0.102112751755948,-0.102296040940763,-0.122558172558886,-0.102231191939045
"result.64",8,64,-1,8,-4.85,0.267316352794893,-0.165167658234734,-0.0897810433654262,-0.10089627926244,-0.100590802619256,-0.12140117449954,-0.101057224403912
"result.65",8,65,-1,8,-4.85,0.268124397014416,-0.165167658234734,-0.0887201664659452,-0.0999162767988727,-0.0999941129954753,-0.120706394826058,-0.100315932905434
"result.66",8,66,-1,8,-4.85,0.268479657835068,-0.165167658234734,-0.091299912061614,-0.103701716714235,-0.10363733935015,-0.124577636434565,-0.104116080751115
"result.67",8,67,-1,8,-4.85,0.26754622744355,-0.165167658234734,-0.0906293521489674,-0.102079627265215,-0.101828088309647,-0.122904204713382,-0.102558753396341
"result.68",8,68,-1,8,-4.85,0.26861549285473,-0.165167658234734,-0.0899101659711823,-0.100799737151209,-0.100722329682861,-0.121367441233203,-0.100917423131769
"result.69",8,69,-1,8,-4.85,0.268476174885846,-0.165167658234734,-0.0903565774165551,-0.103252466139231,-0.103026385645928,-0.123910660059742,-0.103490452816454
"result.70",8,70,-1,8,-4.85,0.267096926993901,-0.165167658234734,-0.0891922728406686,-0.10099775976098,-0.100912602006387,-0.121677011359218,-0.101347335912512
"result.71",8,71,-1,8,-4.85,0.268653805296173,-0.165167658234734,-0.087923465960266,-0.10043734887175,-0.100119496710205,-0.121304990195476,-0.100849873042722
"result.72",8,72,-1,8,-4.85,0.268162709455859,-0.165167658234734,-0.0890943832991073,-0.0998078799118676,-0.0997079868617552,-0.120359953215491,-0.0999768792599433
"result.73",8,73,-1,8,-4.85,0.267911937111869,-0.165167658234734,-0.0906746515725579,-0.101670382419861,-0.101687429785709,-0.122285521623713,-0.101885087731776
"result.74",8,74,-1,8,-4.85,0.267386011779334,-0.165167658234734,-0.0862120412867827,-0.0972933045848718,-0.0971992927327155,-0.117829007628778,-0.097554164553695
"result.75",8,75,-1,8,-4.85,0.26746263666222,-0.165167658234734,-0.0904389855695298,-0.101710135127277,-0.10166189571171,-0.122165194823189,-0.1018024710689
"result.76",8,76,-1,8,-4.85,0.266668524239585,-0.165167658234734,-0.085829533672933,-0.0973451657152633,-0.0967463439835878,-0.118111560707949,-0.0978985813352459
"result.77",8,77,-1,8,-4.85,0.266940194278908,-0.165167658234734,-0.0872130782940539,-0.0988929365572412,-0.0986303529354296,-0.119419842591027,-0.0991149951171214
"result.78",8,78,-1,8,-4.85,0.267431290119221,-0.165167658234734,-0.0891853934399323,-0.100654315544071,-0.100421057096582,-0.121246074577199,-0.100884726414542
"result.79",8,79,-1,8,-4.85,0.268653805296173,-0.165167658234734,-0.0878815561938031,-0.0994516588363117,-0.0990614475112808,-0.120044623387843,-0.099674030880592
"result.80",8,80,-1,8,-4.85,0.267410392423889,-0.165167658234734,-0.087814151670952,-0.0992978119079861,-0.0992618842691088,-0.11980249177147,-0.0994749065986612
"result.81",8,81,-1,8,-4.85,0.268232368440301,-0.165167658234734,-0.0895626887230592,-0.101041818936087,-0.100664990159215,-0.12180334645408,-0.10139646370406
"result.82",8,82,-1,8,-4.85,0.268618975803952,-0.165167658234734,-0.088003636496762,-0.0998828266833473,-0.0997782846433403,-0.12068044383047,-0.100252820411546
"result.83",8,83,-1,8,-4.85,0.26744522191611,-0.165167658234734,-0.0891309733498869,-0.100620140475612,-0.100504722223377,-0.121156198120264,-0.100831759588336
"result.84",8,84,-1,8,-4.85,0.267553193341994,-0.165167658234734,-0.090071285062081,-0.101925634321703,-0.101541713620815,-0.122645409556709,-0.102324952166387
"result.85",8,85,-1,8,-4.85,0.267386011779334,-0.165167658234734,-0.0912272433401798,-0.102428204289463,-0.102408441172112,-0.123068597135107,-0.102738190505296
"result.86",8,86,-1,8,-4.85,0.266797393360802,-0.165167658234734,-0.0893564703815323,-0.101511962231265,-0.101307971822735,-0.122184162956125,-0.101906512858204
"result.87",8,87,-1,8,-4.85,0.267291972150338,-0.165167658234734,-0.0907074888911869,-0.102504097194393,-0.102382205484623,-0.123360689187494,-0.103002935225007
"result.88",8,88,-1,8,-4.85,0.267392977677778,-0.165167658234734,-0.0878472519781228,-0.100998784056096,-0.100534169031064,-0.121837793392809,-0.101470305324497
"result.89",8,89,-1,8,-4.85,0.26752881269744,-0.165167658234734,-0.0885949039773005,-0.101603338854378,-0.101044959520659,-0.122381970414044,-0.102022945422561
"result.90",8,90,-1,8,-4.85,0.268559765667176,-0.165167658234734,-0.0888845232596299,-0.101191783716818,-0.100887648831369,-0.122181215678154,-0.101714848500717
"result.91",8,91,-1,8,-4.85,0.268019908537753,-0.165167658234734,-0.0872423776504532,-0.0997497710150323,-0.099224969359361,-0.12048830996442,-0.100157599315273
"result.92",8,92,-1,8,-4.85,0.266396854200263,-0.165167658234734,-0.0885810860094878,-0.101742140219575,-0.101441656302436,-0.122447982742825,-0.102210805753515
"result.93",8,93,-1,8,-4.85,0.267817897482873,-0.165167658234734,-0.0894564010158496,-0.0998342790430362,-0.0998839438989677,-0.120309213602837,-0.0999942029666229
"result.94",8,94,-1,8,-4.85,0.268396067053738,-0.165167658234734,-0.0891956661470359,-0.100872100970858,-0.100485049444079,-0.121530711227872,-0.10113457570979
"result.95",8,95,-1,8,-4.85,0.267831829279761,-0.165167658234734,-0.0901982664885999,-0.102418387528699,-0.102374483498775,-0.122886821519674,-0.102525709718225
"result.96",8,96,-1,8,-4.85,0.267225796115118,-0.165167658234734,-0.0907773903698189,-0.101972861685728,-0.101507283212845,-0.122782562335604,-0.102443167522717
"result.97",8,97,-1,8,-4.85,0.269263321410037,-0.165167658234734,-0.0913470896758998,-0.103205782985695,-0.102850804467487,-0.124162077515718,-0.103612150946188
"result.98",8,98,-1,8,-4.85,0.268497072581179,-0.165167658234734,-0.0881375491918778,-0.100027460975163,-0.0997831514834675,-0.120917803085659,-0.100511276530957
"result.99",8,99,-1,8,-4.85,0.268587629260953,-0.165167658234734,-0.0864427060797697,-0.0974154177506867,-0.0969431688709132,-0.11833591840303,-0.0979712329259192
"result.100",8,100,-1,8,-4.85,0.267051648654014,-0.165167658234734,-0.0882724992442025,-0.100516640836248,-0.100193143947278,-0.121072322657262,-0.100754069814106
"result.1",9,1,-1,9,-5.4,0.26863290760084,-0.159236835719418,-0.0734065274440806,-0.0878127786185196,-0.0871741440481016,-0.108378042340318,-0.088044971971576
"result.2",9,2,-1,9,-5.4,0.26928421910537,-0.159236835719418,-0.0720987263451193,-0.0850805488782072,-0.0853601833811557,-0.105806052544214,-0.0854484288545148
"result.3",9,3,-1,9,-5.4,0.269440951820363,-0.159236835719418,-0.0785203561368044,-0.092477251932266,-0.0917201786634621,-0.113317452911373,-0.0929307761147895
"result.4",9,4,-1,9,-5.4,0.266445615489372,-0.159236835719418,-0.0759853248213024,-0.0884954618685886,-0.0884408943748279,-0.108976940287767,-0.0888062683444299
"result.5",9,5,-1,9,-5.4,0.268514487327289,-0.159236835719418,-0.0743301056405578,-0.0874436289988879,-0.0871542849159645,-0.108016200637462,-0.0877435690919852
